//========================================================
//Char Type: 	[-1: All Char, 1: Only Normal, 2: Only GM]
//========================================================

//===================================================================================
//Map	Map			Req	Min Lvl	Max Lvl	Allow	Char	Battle	Map
//Index	Name			Zenn	Req	Req	Pk	Type	Zone	Gate
//===================================================================================
1	"Stadium"		2000	50	400	0	-1	0	50
2	"LorenMarket"		10000	1	400	0	-1	0	333
3	"Lorencia"		2000	10	400	0	-1	0	17
4	"Noria"			2000	10	400	0	-1	0	27
5	"Elbeland"		2000	10	400	0	-1	0	267
6	"Elbeland2"		2500	10	400	0	-1	0	268
7	"Elbeland3"		3000	10	400	0	-1	0	269
8	"Devias"		2000	20	400	0	-1	0	22
9	"Devias2"		2500	20	400	0	-1	0	72
10	"Devias3"		3000	20	400	0	-1	0	73
11	"Devias3"		3500	20	400	0	-1	0	74
12	"Dungeon"		3000	30	400	0	-1	0	2
13	"Dungeon2"		3500	35	400	0	-1	0	6
14	"Dungeon3"		4000	40	400	0	-1	0	10
15	"Atlans"		4000	70	220	0	-1	1	49
16	"Atlans2"		4500	75	250	0	-1	1	75
17	"Atlans3"		5000	80	300	0	-1	1	76
18	"LostTower"		5000	90	400	0	-1	0	42
19	"LostTower2"		5500	95	400	0	-1	0	31
20	"LostTower3"		6000	100	400	0	-1	0	33
21	"LostTower4"		6500	105	400	0	-1	0	35
22	"LostTower5"		7000	110	400	0	-1	0	37
23	"LostTower6"		7500	115	400	0	-1	0	39
24	"LostTower7"		8000	120	400	0	-1	0	41
25	"Tarkan"		8000	140	400	0	-1	0	57
26	"Tarkan2"		8500	150	400	0	-1	0	77
27	"Aida"			8500	150	400	0	-1	1	119
28	"Aida2"			8500	150	400	0	-1	1	140
29	"Icarus"		10000	170	400	0	-1	0	63
30	"KanturuRuin"		9000	160	350	0	-1	1	138
31	"KanturuRuin2"		9000	160	350	0	-1	1	141
32	"KanturuRuinIsland"	15000	160	400	0	-1	1	334
33	"KanturuRemain"		12000	230	400	0	-1	0	139
34	"Raklion"		15000	240	400	0	-1	0	287
35	"SwampOfCalmness"	15000	300	400	0	-1	1	273
36	"CrywolfFortress"	15000	130	400	0	-1	0	118
37	"ValleyOfLoren"		15000	10	400	0	-1	0	104
38	"StadiumBar"		2000	50	400	0	-1	0	380
39	"Karutan"		15000	170	400	0	-1	0	335
40	"Karutan2"		15000	170	400	0	-1	0	344
41	"Silent"		15000	1	400	0	2	0	381
42	"Vulcanus"		15000	30	400	0	-1	1	294
