//================================================================================================================
//Nº Skill		Number of the skill
//Name			Name of the skill
//Skill Level		Required Level to use the skill
//Damage		Maximum damage caused by skill
//Mana			Mana usage when skill used
//Agility		Agility Gauge Usage (Requirement)
//Distance		Distance of the skill
//Time Delay		[NOT USED ON SERVER] Delay between skill hits
//Req Energy		Required Energy on character
//Req Command		Required Command on character
//Magic			Add extra damage: ICE 0, POISON 1, LIGHTNING 2, FIRE 3, EARTH 4, WIND 5, WATER 6, NONE -1
//Attack Type		Attack Type (True = Magic Dmg Send, False = regular DMG send) 
//Use Type		Do not check skill usage status: 0, 4(Masters)
//Brand			[NOT USED ON SERVER] Brand of the skill 
//Kill Count		Any number above 0 means the skill is passive (no dmg caused)
//Status		1 = do not check skill status if user is Guild Master
//Status 2		1 = do not check skill status if user is Guild Assistant
//Status 3		1 = do not check skill status if user is Guild Battle Master
//================================================================================================================

//==================================================================================================================================================================================================================================
//Nº	Name				Skill	Damage	Mana	Agility	Dist	Time	Req	Req	Magic	Attack	Use	Brand	Kill	Status	Status	Status	Dw/Sm	Dk/Bk	Elf/Me	Mg	Dl	Su/Bs	Rage	Rank
//Skill					Level				ance	Delay	Energy	Command		Type	Type		Count		2	3	Gm	Bm	He	Dm	Le	Dm	Fist
//==================================================================================================================================================================================================================================
1	"Poison"			30	12	42	0	6	0	100	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2
2	"Meteorite"			21	21	12	0	6	0	100	0	4	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0
3	"Lightning"			13	17	15	0	6	0	100	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
4	"Fire Ball"			5	8	3	0	6	0	100	0	3	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0
5	"Flame"				35	25	50	0	6	0	100	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
6	"Teleport"			17	0	30	0	6	0	100	0	-1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
7	"Ice"				25	10	38	0	6	0	100	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	2
8	"Twister"			40	35	60	0	6	0	100	0	5	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
9	"Evil Spirit"			50	45	90	0	6	0	100	0	-1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
10	"Hellfire"			60	120	160	0	0	0	100	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
11	"Power Wave"			9	14	5	0	6	0	100	0	-1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0
12	"Aqua Beam"			74	80	140	0	6	0	110	0	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
13	"Cometfall"			80	70	150	0	3	0	150	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
14	"Inferno"			88	100	200	0	0	0	200	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
15	"Mass Teleport"			83	0	90	25	6	0	188	0	-1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
16	"Mana Shield"			77	0	70	22	6	0	126	0	-1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
17	"Energy Ball"			2	3	1	0	6	0	0	0	-1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
18	"Defense"			0	0	30	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	1	0	1	1	0	0	0
19	"Falling Slash"			0	0	9	0	3	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
20	"Lunge"				0	0	9	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
21	"Uppercut"			0	0	8	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
22	"Cyclone"			0	0	9	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
23	"Slash"				0	0	10	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
24	"Triple Shot"			0	0	5	0	6	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
26	"Heal"				8	0	20	0	6	0	100	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3
27	"Greater Defense"		13	0	30	0	6	0	100	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
28	"Greater Damage"		18	0	40	0	6	0	100	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
30	"Summon Goblin"			0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
31	"Summon Stone Golem"		0	0	70	0	0	0	170	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
32	"Summon Assassin"		0	0	110	0	0	0	190	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
33	"Summon Elite Yeti"		0	0	160	0	0	0	230	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
34	"Summon Dark Knight"		0	0	200	0	0	0	250	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
35	"Summon Bali"			0	0	250	0	0	0	260	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
36	"Summon Soldier"		0	0	350	0	0	0	280	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
38	"Decay"				96	95	110	7	6	0	243	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2
39	"Ice Storm"			93	80	100	5	6	0	223	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
40	"Nova"				100	0	180	45	6	0	258	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
41	"Twisting Slash"		0	0	10	10	2	0	0	0	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
42	"Rageful Blow"			170	60	25	20	3	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
43	"Death Stab"			160	70	15	12	2	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
44	"Crescent Moon Slash"		0	90	22	15	4	0	0	0	-1	-1	0	75	0	0	0	0	0	1	0	0	0	0	0	0
45	"Mana Glaive"			0	90	150	10	6	0	0	0	-1	-1	0	75	0	0	0	0	1	0	0	0	0	1	0	0
46	"Starfall"			0	120	20	15	8	0	0	0	-1	-1	0	75	0	0	0	0	0	0	1	0	0	0	0	0
47	"Impale"			28	15	8	0	3	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
48	"Greater Fortitude"		120	0	22	24	0	0	0	0	-1	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
49	"Fire Breath"			110	30	9	0	3	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
50	"Flame of Evil (Monster)"	60	120	160	0	0	0	100	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	"Ice Arrow"			0	105	10	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
52	"Penetration"			130	70	7	9	6	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
55	"Fire Slash"			0	80	15	20	2	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	2
56	"Power Slash"			0	0	15	0	5	0	100	0	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
57	"Spiral Slash"			0	75	20	15	5	0	0	0	-1	-1	0	75	0	0	0	0	0	0	0	1	0	0	0	0
60	"Force"				0	10	10	0	4	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
61	"Fire Burst"			74	100	25	0	6	0	20	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
62	"Earthquake"			0	150	0	50	10	10000	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
63	"Summon"			98	0	70	30	0	30000	34	400	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
64	"Critical Damage"		82	0	50	50	0	0	25	300	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
65	"Electric Spark"		92	250	0	100	10	5000	29	340	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
66	"Force Wave"			0	50	10	0	4	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
67	"Stern"				0	0	70	50	2	0	0	0	-1	-1	1	0	4	0	0	1	1	1	1	1	1	1	0	2
68	"Cancel Stern"			0	0	25	30	0	0	0	0	-1	-1	1	0	2	0	0	1	1	1	1	1	1	1	0	0
69	"Swell Mana"			0	0	35	30	0	0	0	0	-1	-1	1	0	4	0	0	1	1	1	1	1	1	1	0	1
70	"Invisibility"			0	0	80	60	0	0	0	0	-1	-1	1	0	5	1	1	0	1	1	1	1	1	1	0	0
71	"Cancel Invisibility"		0	0	40	30	0	0	0	0	-1	-1	1	0	2	1	1	0	1	1	1	1	1	1	0	0
72	"Cancel Magic"			0	0	90	70	0	0	0	0	-1	-1	1	0	8	1	0	0	0	0	0	0	1	0	0	0
73	"Mana Rays"			0	85	130	7	6	0	0	0	-1	-1	0	75	0	0	0	0	0	0	0	1	0	0	0	0
74	"Fire Blast"			0	150	30	10	6	0	0	0	-1	-1	0	75	0	0	0	0	0	0	0	0	1	0	0	0
76	"Plasma Storm"			110	60	50	20	6	1500	0	0	-1	0	0	0	0	0	0	0	2	2	2	1	1	2	0	0
77	"Infinity Arrow"		220	0	50	10	6	200	0	0	-1	-1	0	0	0	0	0	0	0	0	2	0	0	0	0	1
78	"Fire Scream"			102	130	45	10	6	0	32	70	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
79	"Explosion"			0	0	0	0	2	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
200	"Summon Monster"		0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	"Magic Attack Immunity"		0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202	"Physical Attack Immunity"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203	"Potion of Bless"		0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
204	"Potion of Soul"		0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210	"Spell of Protection"		0	0	30	0	0	0	0	0	0	0	0	0	5	0	0	0	1	1	1	1	1	1	0	1
211	"Spell of Restriction"		0	0	30	0	3	0	0	0	0	0	0	0	5	0	0	0	1	1	1	1	1	1	0	2
212	"Spell of Pursuit"		0	0	30	0	0	0	0	0	0	0	0	0	10	0	0	0	1	1	1	1	1	1	0	0
213	"Freeze Time"			0	0	30	0	3	0	0	0	0	0	0	0	5	0	0	0	1	1	1	1	1	1	0	0
214	"Drain Life"			35	35	50	0	6	0	93	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
215	"Chain Lightning"		75	70	85	0	6	0	75	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
217	"Damage Reflection"		80	0	40	10	5	5000	111	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
218	"Berserker"			83	0	100	50	5	5000	181	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
219	"Sleep"				40	0	20	3	6	0	100	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2
220	"Night"				50	10	30	3	6	0	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
