//========================================================================================================================================================================================================================================================================================================================================================================
//Nº	Name		Opt	Value	Opt	Value	Opt	Value	Opt	Value	Opt	Value	Opt	Value	Opt	Value	Opt	Value	Opt	Value	Opt	Value	Opt	Value	Opt	Value	Opt	Value	Opt	Value	Full	Value	Full	Value	Full	Value	Full	Value	Full	Value	Dw/Sm	Dk/Bk	Elf/Me	Dl	Mg
//Ancient		2-1		2-2		3-1		3-2		4-1		4-2		5-1		5-2		6-1		6-2		7-1		7-2		8		9		1		2		3		4		5		Gm	Bm	He	Le	Dm
//========================================================================================================================================================================================================================================================================================================================================================================
1	"Warrior"	0	10	-1	-1	19	10	-1	-1	13	20	-1	-1	14	5	-1	-1	10	20	-1	-1	1	10	-1	-1	-1	-1	-1	-1	15	5	17	5	0	25	-1	-1	-1	-1	0	0	0	0	0
2	"Anonymous"	11	50	-1	-1	1	50	-1	-1	22	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	30	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
3	"Hyperion"	2	15	-1	-1	1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	20	12	30	-1	-1	-1	-1	-1	-1	0	0	0	0	0
4	"Mist"		3	20	-1	-1	19	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	10	1	20	-1	-1	-1	-1	-1	-1	0	0	0	0	0
5	"Eplete"	19	15	-1	-1	9	50	-1	-1	7	5	-1	-1	11	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	30	15	10	17	10	-1	-1	-1	-1	0	0	0	0	0
6	"Berserker"	6	10	-1	-1	6	20	-1	-1	6	30	-1	-1	6	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	40	0	40	-1	-1	-1	-1	-1	-1	0	0	0	0	0
7	"Garuda"	13	30	-1	-1	20	5	-1	-1	2	15	-1	-1	11	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	25	7	15	-1	-1	-1	-1	-1	-1	0	0	0	0	0
8	"Cloud"		15	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	50	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
9	"Kantata"	2	15	-1	-1	3	30	-1	-1	7	10	-1	-1	0	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	25	17	10	18	20	-1	-1	-1	-1	0	0	0	0	0
10	"Rave"		19	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	30	21	5	-1	-1	-1	-1	-1	-1	0	0	0	0	0
11	"Hyon"		10	25	-1	-1	20	10	-1	-1	19	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0
12	"Vicious"	19	15	-1	-1	8	15	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	20	6	30	21	5	-1	-1	-1	-1	0	0	0	0	0
13	"Apollo"	2	10	-1	-1	7	5	-1	-1	19	10	-1	-1	12	30	-1	-1	11	30	-1	-1	13	20	-1	-1	-1	-1	-1	-1	15	10	17	10	2	30	-1	-1	-1	-1	0	0	0	0	0
14	"Barnake"	7	10	-1	-1	2	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	30	12	100	-1	-1	-1	-1	-1	-1	0	0	0	0	0
15	"Evis"		19	15	-1	-1	3	20	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	5	9	50	14	5	-1	-1	-1	-1	0	0	0	0	0
16	"Sylion"	20	5	-1	-1	15	5	-1	-1	10	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	50	1	50	3	50	2	50	-1	-1	0	0	0	0	0
17	"Heras"		0	15	-1	-1	7	10	-1	-1	22	5	-1	-1	2	15	-1	-1	9	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	11	50	12	50	-1	-1	0	0	0	0	0
18	"Minet"		2	30	-1	-1	10	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	100	19	15	-1	-1	-1	-1	-1	-1	0	0	0	0	0
19	"Anubis"	20	10	-1	-1	12	50	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0
20	"Enis"		19	10	-1	-1	20	10	-1	-1	2	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	10	21	5	-1	-1	-1	-1	-1	-1	0	0	0	0	0
21	"Ceto"		1	10	-1	-1	11	50	-1	-1	10	20	-1	-1	22	5	-1	-1	2	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	50	0	20	-1	-1	-1	-1	-1	-1	0	0	0	0	0
22	"Drake"		1	20	-1	-1	8	25	-1	-1	20	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	40	15	10	-1	-1	-1	-1	-1	-1	0	0	0	0	0
23	"Gaia"		19	10	-1	-1	12	25	-1	-1	0	10	-1	-1	20	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	30	17	10	18	10	-1	-1	-1	-1	0	0	0	0	0
24	"Fase"		11	100	-1	-1	12	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	100	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
25	"Odin"		2	15	-1	-1	11	50	-1	-1	9	50	-1	-1	1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	50	21	5	13	50	-1	-1	-1	-1	0	0	0	0	0
26	"Elvian"	1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	5	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
27	"Argo"		6	20	-1	-1	19	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	50	20	5	-1	-1	-1	-1	-1	-1	0	0	0	0	0
28	"Karis"		19	15	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	1	40	-1	-1	-1	-1	-1	-1	0	0	0	0	0
29	"Gywen"		1	30	-1	-1	5	20	-1	20	10	20	-1	-1	6	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0
30	"Aruan"		8	10	-1	-1	20	10	-1	-1	19	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	21	5	-1	-1	-1	-1	0	0	0	0	0
31	"Gaion"		21	5	-1	-1	20	15	-1	-1	19	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	18	30	7	10	0	30	-1	-1	0	0	0	0	0
32	"Muren"		19	10	-1	-1	7	10	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	10	25	23	20	-1	-1	0	0	0	0	0
33	"Agnis"		20	10	-1	-1	10	40	-1	-1	19	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0
34	"Broy"		8	20	-1	-1	19	20	-1	-1	2	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	21	5	4	30	-1	-1	0	0	0	0	0
35	"Chrono"	20	20	-1	-1	10	60	-1	-1	19	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0
36	"Semeden"	7	15	-1	-1	19	25	-1	-1	2	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	21	5	-1	-1	-1	-1	0	0	0	0	0
37	"Vega"		9	50	-1	-1	3	50	-1	-1	6	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	20	5	21	5	-1	-1	-1	-1	0	0	0	0	0
38	"Chamereuui"	10	50	-1	-1	20	5	-1	-1	8	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	30	17	15	19	30	18	20	-1	-1	0	0	0	0	0
39	"Moros"		11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	16	10	18	10	0	0	0	0	0	0	0
40	"Four"		11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	16	10	18	10	19	25	0	0	0	0	0
41	"Hades"		11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	16	10	18	10	19	25	0	0	0	0	0
42	"Office"	11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	16	10	18	10	19	25	0	0	0	0	0
43	"Metereuui"	11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	21	5	0	0	0	0	0
44	"Hegatonui"	11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	21	5	0	0	0	0	0
45	"Kass"		11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	21	5	0	0	0	0	0
46	"Taroseu"	11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	21	5	0	0	0	0	0
47	"Nemesis"	11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	21	5	0	0	0	0	0
48	"Army"		11	30	-1	-1	19	25	-1	-1	20	15	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	21	5	0	0	0	0	0
49	"Tree"		11	30	-1	-1	19	25	-1	-1	20	15	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	21	5	0	0	0	0	0
end
