//Lorencia
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense			Rg	Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
0	1	"Bull Fighter"		6	100	0	16	20	6	0	28	6	3	0	1	5	400	1600	10	2	130	10	6	0	0	0	0	0
1	1	"Hound"			9	140	0	22	27	9	0	39	9	3	0	1	5	400	1600	10	2	130	10	6	0	0	0	0	0
2	1	"Budge Dragon"		4	60	0	10	13	3	0	18	3	3	0	1	4	400	2000	10	2	120	10	6	0	0	0	0	0
3	1	"Spider"		2	30	0	4	7	1	0	8	1	2	0	1	5	400	1800	10	2	120	10	6	0	0	0	0	0
4	1	"Elite Bull Fighter"	12	190	0	31	36	12	0	50	12	3	0	1	4	400	1400	10	2	140	12	6	0	0	0	0	0
6	1	"Lich"			14	255	0	41	46	14	0	62	14	3	2	4	7	400	2000	10	2	150	12	6	0	0	0	0	1
7	1	"Giant"			17	400	0	57	62	18	0	80	18	2	0	2	3	400	2200	10	2	150	12	6	0	0	0	0	0
14	1	"Skeleton Warrior"	19	525	0	68	74	22	0	93	22	2	0	1	4	400	1400	10	2	160	12	6	0	0	0	0	0

//Dungeon
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
5	1	"Hell Hound"		38	1400	0	125	130	55	0	190	45	3	0	1	4	400	1200	10	2	190	14	6	0	1	1	1	3
8	1	"Poison Bull"		46	2500	0	145	150	75	0	230	61	3	1	1	5	400	1400	10	2	190	14	3	0	6	2	2	2
9	1	"Thunder Lich"		44	2000	0	140	145	70	0	220	55	3	3	4	7	400	2200	10	2	190	14	3	0	2	2	3	2
10	1	"Dark Knight"		48	3000	0	150	155	80	0	240	70	3	0	1	5	400	1400	10	2	200	14	3	0	3	3	3	5
11	1	"Ghost"			32	1000	0	110	115	40	0	160	39	3	0	1	5	400	1400	10	2	190	14	6	0	2	2	2	2
12	1	"Larva"			25	750	0	90	95	31	0	125	31	3	1	1	4	400	1800	10	2	200	14	6	0	2	0	0	0
13	1	"Hell Spider"		40	1600	0	130	135	60	0	200	47	3	11	4	7	400	1600	10	2	190	14	6	0	3	1	1	1
15	1	"Skeleton Archer"	34	1100	0	115	120	45	0	170	41	2	0	5	7	400	2000	10	2	190	14	6	0	1	1	1	1
16	1	"Elite Skeleton"	42	1800	0	135	140	65	0	210	49	2	0	1	4	400	1600	10	2	190	14	4	0	1	1	1	1
17	1	"Cyclops"		28	850	0	100	105	35	0	140	35	3	0	1	4	400	1600	10	2	170	14	6	0	2	0	0	0
18	1	"Gorgon"		55	6000	0	165	175	100	0	275	82	3	0	1	7	400	1600	150	2	160	14	3	0	6	6	6	6

//Devias
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
19	1	"Yeti"			30	900	0	105	110	37	0	150	37	2	17	4	6	400	2000	10	2	180	14	6	0	0	3	0	0
20	1	"Elite Yeti"		36	1200	0	120	125	50	0	180	43	3	0	1	6	400	1400	10	2	180	14	6	0	1	4	1	1
21	1	"Assassin"		26	800	0	95	100	33	0	130	33	2	0	1	7	400	2000	10	2	180	14	6	0	0	0	0	0
22	1	"Ice Monster"		22	650	0	80	85	27	0	110	27	2	7	1	5	400	2000	10	2	170	14	6	0	0	3	0	0
23	1	"Hommerd"		24	700	0	85	90	29	0	120	29	3	0	1	5	400	1600	10	2	170	14	6	0	0	3	0	0
24	1	"Worm"			20	600	0	75	80	25	0	100	25	3	0	1	4	400	1600	10	2	160	14	6	0	0	2	0	0
25	1	"Ice Queen"		52	4000	0	155	165	90	0	260	76	3	11	4	7	400	1400	50	2	180	14	3	0	4	5	4	4

//Noria
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
26	1	"Goblin"		3	45	0	7	10	2	0	13	2	2	0	1	4	400	1800	10	2	120	10	6	0	0	0	0	0
27	1	"Chain Scorpion"	5	80	0	13	17	4	0	23	4	3	0	1	4	400	1800	10	2	120	10	6	0	0	0	0	0
28	1	"Beetle Monster"	10	165	0	26	31	10	0	44	10	3	0	1	5	400	1600	10	2	140	10	6	0	0	0	0	0
29	1	"Hunter"		13	220	0	36	41	13	0	56	13	3	0	4	4	400	1600	10	2	140	12	6	0	0	0	0	0
30	1	"Forest Monster"	15	295	0	46	51	15	0	68	15	3	0	1	4	400	1600	10	2	150	12	6	0	0	0	0	0
31	1	"Agon"			16	340	0	51	57	16	0	74	16	2	0	1	4	400	1400	10	2	150	12	6	0	0	0	0	0
32	1	"Stone Golem"		18	465	0	62	68	20	0	86	20	2	0	2	3	400	2200	10	2	160	12	6	0	0	0	0	0
33	1	"Elite Goblin"		8	120	0	19	23	8	0	33	8	3	0	1	5	400	1600	10	2	130	10	6	0	0	0	0	0

//Lost Tower
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
34	1	"Cursed Wizard"		54	4000	0	160	170	95	0	270	80	3	2	4	7	400	2000	10	2	200	14	3	0	5	5	7	7
35	1	"Death Gorgon"		64	6000	0	200	210	130	0	320	94	3	150	1	7	400	2000	10	2	180	14	3	0	6	6	6	8
36	1	"Shadow"		47	2800	0	148	153	78	0	235	67	3	0	1	5	400	1400	10	2	200	14	3	0	3	3	3	5
37	1	"Devil"			60	5000	0	180	195	115	0	300	88	3	3	4	7	400	2000	10	2	200	14	3	0	5	5	5	7
38	1	"Balrog"		66	9000	0	220	240	160	0	330	99	3	150	2	7	400	1600	150	2	160	14	3	0	10	10	10	15
39	1	"Poison Shadow"		50	3500	0	155	160	85	0	250	73	3	1	1	5	400	1400	10	2	200	14	3	0	6	4	4	6
40	1	"Death Knight"		62	5500	0	190	200	120	0	310	91	3	0	1	7	400	1800	10	2	200	14	3	0	6	6	6	7
41	1	"Death Cow"		57	4500	0	170	180	110	0	285	85	3	0	1	7	400	1600	10	2	200	14	3	0	5	5	5	7

//Atlans
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
45	1	"Bahamut"		43	2400	0	130	140	65	0	215	52	2	0	1	4	400	1600	10	2	185	14	3	0	1	1	1	1
46	1	"Vepar"			45	2800	0	135	145	70	0	225	58	3	17	4	7	400	1600	10	2	185	14	3	0	2	2	3	2
47	1	"Valkyrie"		46	3200	0	140	150	75	0	230	64	3	0	5	7	400	1800	10	2	185	14	3	0	6	2	2	2
48	1	"Lizard King"		70	9000	0	240	270	180	0	350	115	3	3	3	7	400	1600	10	2	175	14	3	0	7	7	7	7
49	1	"Hydra"			74	19000	0	250	310	200	0	430	125	3	150	4	7	400	1400	150	2	175	14	3	0	12	12	12	12
50	1	"Sea Worm"		74	19000	0	250	310	200	0	430	125	3	150	4	7	400	1400	150	2	175	14	3	0	12	12	12	12
51	1	"Great Bahamut"		66	7000	0	210	230	150	0	330	98	3	0	2	7	400	1600	10	2	175	14	3	0	6	6	6	6
52	1	"Silver Valkyrie"	68	8000	0	230	260	170	0	340	110	3	7	4	7	400	1600	10	2	175	14	3	0	7	7	7	7

//Tarkan
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
57	1	"Iron Wheel"		80	17000	0	280	330	215	0	446	150	3	0	4	7	400	1400	10	2	160	30	3	0	9	9	9	9
58	1	"Tantallos"		83	22000	0	335	385	250	0	500	175	3	150	2	7	400	1400	10	2	160	30	3	0	9	9	9	9
59	1	"Zaikan"		90	34000	0	510	590	400	0	550	185	3	150	5	7	400	1400	150	2	160	30	3	0	13	13	13	15
60	1	"Bloody Wolf"		76	13500	0	260	300	200	0	410	130	3	0	2	7	400	1400	10	2	170	30	3	0	8	8	8	8
61	1	"Beam Knight"		84	25000	0	375	425	275	0	530	190	3	17	4	7	400	1400	10	2	160	30	3	0	10	10	10	10
62	1	"Mutant"		72	10000	0	250	280	190	0	365	120	3	0	1	7	400	1400	10	2	170	30	3	0	8	8	8	8
63	1	"Death Beam Knight"	93	40000	0	590	650	420	0	575	220	3	150	5	7	400	1400	150	2	130	30	3	0	13	13	13	17

//Devil Square
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
64	1	"Ogre Archer"		70	10000	0	220	250	170	0	350	115	3	0	4	7	400	1600	10	2	200	14	3	0	7	7	7	7
65	1	"Elite Ogre"		74	14000	0	260	290	190	0	400	125	3	150	1	7	400	2000	10	2	180	14	3	0	8	8	8	8
66	1	"Cursed King"		86	38000	0	500	570	350	0	525	200	3	150	4	7	400	1400	100	2	200	30	3	0	17	17	17	17
67	1	"Metal Balrog"		77	26000	0	300	360	220	0	385	150	3	150	2	7	400	1600	200	2	160	14	3	0	9	9	9	9
434	1	"Gigantis"		105	30000	0	475	510	360	0	715	270	3	0	2	7	500	1500	10	2	135	0	3	0	25	25	25	25
435	1	"Berserker"		106	33000	0	500	540	410	0	750	280	3	0	2	7	800	1700	10	2	110	0	3	0	50	50	50	50
436	1	"Balram (Trainee)"	117	37000	0	560	600	460	0	800	320	6	0	4	7	500	1500	10	2	150	14	3	0	23	23	23	23
437	1	"Soram (Trainee)"	119	40000	0	610	650	510	0	835	330	6	0	2	7	500	1500	10	2	150	14	3	0	25	25	25	25
438	1	"Persona"		121	50000	0	640	680	560	0	935	370	3	0	5	7	500	1600	10	2	130	0	3	0	29	29	29	29
439	1	"Dreadfear"		123	55000	0	700	740	610	0	1015	380	3	0	2	5	500	1500	10	2	130	0	3	0	27	27	27	27
440	1	"Dark Elf"		135	75000	0	850	900	690	0	1300	430	6	0	6	10	700	1700	10	2	150	14	4	0	23	23	23	23

//Icarus
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
68	1	"Molt"			76	13500	0	260	300	200	0	410	130	3	0	2	7	400	1400	10	2	170	30	3	0	8	8	8	8
69	1	"Alquamos"		75	11500	0	255	290	195	0	385	125	3	17	5	5	400	1400	10	2	160	14	3	0	9	9	11	9
70	1	"Queen Rainer"		82	19000	0	305	350	230	0	475	160	3	17	3	5	400	1400	10	2	160	14	3	0	9	11	12	9
71	1	"Mega Crust"		78	15000	0	270	320	210	0	430	140	3	0	1	5	400	1400	10	2	160	14	3	0	9	9	12	9
