//Npcs Lorencia
//==================================================
//Mob	Map	Rad	X	Y	Dir	Name
//==================================================
0
230	0	0	62	130	3	//Wandering Merchant Alex
248	0	0	6	145	3	//Wandering Merchant Harold
226	0	0	122	110	3	//Trainer
240	0	0	146	110	3	//Safety Guardian
240	0	0	147	145	1	//Safety Guardian
250	0	0	183	137	2	//Wandering Merchant Martin
251	0	0	116	141	3	//Hanzo the Blacksmith
253	0	0	127	86	2	//Potion Girl Amy
254	0	0	118	113	3	//Pasi the Mage
255	0	0	123	135	1	//Lumen the Barmaid
257	0	0	96	129	1	//Shadow Phantom Soldier
257	0	0	132	165	3	//Shadow Phantom Soldier
257	0	0	174	129	1	//Shadow Phantom Soldier
229	0	0	136	88	1	//Marlon
375	0	0	132	161	3	//Chaos Card Master
479	0	0	130	133	3	//Doorkeper Titus
249	0	10	131	88	1	//Guard, South West Gate
249	0	20	173	125	3	//Guard, South East Gate
249	0	20	94	130	7	//Guard, North West Gate
249	0	20	94	125	7	//Guard, North West Gate
249	0	30	131	148	1	//Guard, North East Gate
236	0	0	175	120	3	//Golden Archer
543	0	0	144	128	3	//Gens Duprian Steward
233	0	0	137	133	3	//Messenger of Archangel
237	0	0	137	122	3	//Charon
end

//Traps Dungeon
//==================================================
//Mob	Map	Rad	X	Y	Dir	Name
//==================================================
0
100	1	0	126	99	1	//Lance
100	1	0	123	99	1	//Lance
100	1	0	120	99	1	//Lance
100	1	0	117	99	1	//Lance
100	1	0	136	95	1	//Lance
100	1	0	139	95	1	//Lance
100	1	0	172	12	1	//Lance
100	1	0	166	12	1	//Lance
100	1	0	178	12	1	//Lance
100	1	0	177	103	1	//Lance
100	1	0	180	103	1	//Lance
100	1	0	183	103	1	//Lance
100	1	0	186	103	1	//Lance
100	1	0	189	103	1	//Lance
100	1	0	186	151	3	//Lance
100	1	0	196	33	1	//Lance
100	1	0	193	33	1	//Lance
100	1	0	202	93	1	//Lance
100	1	0	205	93	1	//Lance
100	1	0	198	130	1	//Lance
100	1	0	202	150	1	//Lance
100	1	0	232	46	3	//Lance
100	1	0	232	40	3	//Lance
100	1	0	232	37	3	//Lance
100	1	0	227	61	1	//Lance
100	1	0	229	93	1	//Lance
100	1	0	232	93	1	//Lance
101	1	0	10	26	1	//Iron Stick
101	1	0	11	26	1	//Iron Stick
101	1	0	27	12	1	//Iron Stick
101	1	0	24	5	1	//Iron Stick
101	1	0	24	4	1	//Iron Stick
101	1	0	27	11	1	//Iron Stick
101	1	0	23	24	1	//Iron Stick
101	1	0	27	21	1	//Iron Stick
101	1	0	19	19	1	//Iron Stick
101	1	0	22	24	1	//Iron Stick
101	1	0	23	29	1	//Iron Stick
101	1	0	23	28	1	//Iron Stick
101	1	0	33	9	1	//Iron Stick
101	1	0	35	9	1	//Iron Stick
101	1	0	39	18	1	//Iron Stick
101	1	0	39	17	1	//Iron Stick
101	1	0	39	16	1	//Iron Stick
101	1	0	48	193	1	//Iron Stick
101	1	0	49	193	1	//Iron Stick
101	1	0	90	164	1	//Iron Stick
101	1	0	92	164	1	//Iron Stick
101	1	0	91	164	1	//Iron Stick
101	1	0	128	212	1	//Iron Stick
101	1	0	130	213	1	//Iron Stick
101	1	0	143	214	1	//Iron Stick
101	1	0	155	230	5	//Iron Stick
102	1	0	45	224	3	//Fire
102	1	0	66	71	3	//Fire
102	1	0	80	61	1	//Fire
102	1	0	169	12	1	//Fire
102	1	0	175	12	1	//Fire
end

//Monsters Dungeon
//==================================================
//Mob	Map	Rad	X	Y	Dir	Name
//==================================================
2
8	1	30	50	123	-1	//Poison Bull Fighter
8	1	30	42	122	-1	//Poison Bull Fighter
8	1	30	4	73	-1	//Poison Bull Fighter
8	1	30	12	56	-1	//Poison Bull Fighter
8	1	30	2	78	-1	//Poison Bull Fighter
8	1	30	187	15	-1	//Poison Bull Fighter
8	1	30	158	17	-1	//Poison Bull Fighter
8	1	30	25	100	-1	//Poison Bull Fighter
8	1	30	21	82	-1	//Poison Bull Fighter
8	1	30	16	55	-1	//Poison Bull Fighter
8	1	30	35	55	-1	//Poison Bull Fighter
8	1	30	116	47	-1	//Poison Bull Fighter
8	1	30	119	47	-1	//Poison Bull Fighter
8	1	30	122	46	-1	//Poison Bull Fighter
8	1	30	193	30	-1	//Poison Bull Fighter
12	1	30	65	205	-1	//Larva
12	1	30	87	177	-1	//Larva
12	1	30	70	195	-1	//Larva
12	1	30	61	213	-1	//Larva
12	1	30	69	222	-1	//Larva
12	1	30	57	247	-1	//Larva
12	1	30	49	246	-1	//Larva
12	1	30	86	196	-1	//Larva
12	1	30	46	210	-1	//Larva
12	1	30	46	205	-1	//Larva
12	1	30	137	241	-1	//Larva
12	1	30	130	244	-1	//Larva
12	1	30	134	240	-1	//Larva
12	1	30	193	224	-1	//Larva
