//텍스트 버전										
//최종 Version 1.01										
//최종 Version 1.01										
//최종 작업자 - 김보경										
//최종 작업일 - 오후 5:13 2006-08-28									
//내용 : 칸투르 몬스터용 스킬 추가										
//Index 	Name		Target	ScopeT	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
0
//아이다&크라이울프 공방전										
1	"선더브레이크"		1	0	6	300	1	45	-1	-1	-1
2	"블러디윈드"		1	0	6	300	45	7	-1	-1	-1
3	"파이어레이"		1	0	6	300	11	45	-1	-1	-1
4	"참"			1	-1	0	300	17	23	45	-1	-1
5	"뱀파이어릭터치"	1	-1	0	300	3	45	-1	-1	-1
6	"다크엘프-그룹소환술"	2	-1	6	300	16	-1	-1	-1	-1
7	"다크엘프-그룹치료"	2	-1	6	300	13	-1	-1	-1	-1
8	"다크엘프-검기"		1	-1	6	300	43	45	-1	-1	-1
9	"발람-방향해제"		1	-1	0	300	17	45	-1	-1	-1
10	"데쓰-마나AG감소"	1	-1	0	300	3	4	45	-1	-1
11	"소람-밀어내기"		1	0	6	300	44	45	-1	-1	-1
12	"발가스-대지직격"	1	0	6	300	44	1	17	45	-1
13	"발가스-10자베기"	1	0	6	300	44	1	1	45	-1
										
//칸투르 몬스터										
//Index Name			Target	ScopeT	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
14	"켄타우로스-멀티샷"	1	1	6	300		24	-1	-1	-1	-1
15	"페르소나-악령"		1	0	6	300		25	-1	-1	-1	-1
16	"트윈테일-머리칼공격"	1	-1	0	300		26	27	-1	-1	-1
17	"드레드피어-2회베기"	1	-1	0	300		28	-1	-1	-1	-1

// 나이트메어
//Index Name			Target	ScopeT	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
18	"나이트메어-독공격"	1	-1	0	300		29	30	-1	-1	-1
19	"나이트메어-돌개바람"	1	1	6	300		31	-1	-1	-1	-1
20	"나이트메어-소환"	2	-1	0	300		-1	-1	-1	-1	-1
21	"나이트메어-화염진"	1	0	6	300		32	33	-1	-1	-1
22	"나이트메어-워프"	2	-1	0	300		34	-1	-1	-1	-1

// 마야손 & 마야
//Index Name			Target	ScopeT	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
23	"마야의 손-프레셔"	1	0	6	300		35	36	37	-1	-1
24	"마야의 손-파워웨이브"	1	1	6	300		38	-1	-1	-1	-1
25	"마야-아이스스톰"	1	-1	6	300		39	40	-1	-1	-1
26	"마야-브로큰샤워"	1	-1	6	300		41	42	-1	-1	-1

end										
